TIME_ID,Y,TIME
2018/12/7 19:41 PKWT20.0H_13,0.380518,2018/12/7 19:41
2018/12/7 19:45 PFTA36.0H_13__r1,0.152207,2018/12/7 19:45
2018/12/7 20:15 PKWT59.0D_13,0.456621,2018/12/7 20:15
2018/12/7 20:33 PKXA84.00_06,0.570776,2018/12/7 20:33
2018/12/7 20:48 PFTA42.09_20__r1,0.152207,2018/12/7 20:48
2018/12/7 20:52 PKXR61.0D_19,0.87519,2018/12/7 20:52
2018/12/7 21:23 PKXS03.0H_14,0.152207,2018/12/7 21:23
2018/12/7 21:29 PKXR67.00_03,0.304414,2018/12/7 21:29
2018/12/7 21:35 PFTA41.0G_12__r1,0.190259,2018/12/7 21:35
2018/12/7 22:35 PKWT09.0A_20,0.456621,2018/12/7 22:35
2018/12/7 23:04 PKXA84.00_05,0.494673,2018/12/7 23:04
2018/12/7 23:14 PKWT22.00_11,0.64688,2018/12/7 23:14
2018/12/7 23:36 PKXR61.0D_18,0.608828,2018/12/7 23:36
2018/12/7 23:38 PKWT09.0A_19,0.494673,2018/12/7 23:38
2018/12/7 23:52 PM0T61.00_07,0.304414,2018/12/7 23:52
2018/12/8 00:03 PKXS03.0H_13,0.190259,2018/12/8 00:03
2018/12/8 00:04 PKXR67.00_02,0.380518,2018/12/8 00:04
2018/12/8 00:32 PKWT09.0A_18,0.190259,2018/12/8 00:32
2018/12/8 01:33 PKWT09.0A_17,0.190259,2018/12/8 01:33
2018/12/8 01:34 PKXR81.00_06,0.304414,2018/12/8 01:34
2018/12/8 01:43 PKXA84.00_04,0.722983,2018/12/8 01:43
2018/12/8 01:55 PKWT22.00_10,0.456621,2018/12/8 01:55
2018/12/8 02:15 PKXR61.0D_17,0.951294,2018/12/8 02:15
2018/12/8 02:27 PM0T61.00_06,0.152207,2018/12/8 02:27
2018/12/8 02:30 PKWT09.0A_16,0.304414,2018/12/8 02:30
2018/12/8 02:35 PKXR67.00_01,0.64688,2018/12/8 02:35
2018/12/8 03:30 PKWT09.0A_15,0.570776,2018/12/8 03:30
2018/12/8 04:06 PKXR81.00_05,0.304414,2018/12/8 04:06
2018/12/8 04:14 PKXA84.00_03,0.64688,2018/12/8 04:14
2018/12/8 04:28 PKWT22.00_09,0.913242,2018/12/8 04:28
2018/12/8 04:46 PKXR71.00_11__r1,0.342466,2018/12/8 04:46
2018/12/8 04:55 PM0T61.00_03,0.152207,2018/12/8 04:55
2018/12/8 04:56 PKXR61.0D_16,0.799087,2018/12/8 04:56
2018/12/8 05:14 PKXR71.00_10__r1,0.266362,2018/12/8 05:14
2018/12/8 05:16 PKWT09.0A_14,0.266362,2018/12/8 05:16
2018/12/8 05:49 PKXR71.00_09__r1,0.076104,2018/12/8 05:49
2018/12/8 06:16 PKXR71.00_08__r1,0.114155,2018/12/8 06:16
2018/12/8 06:23 PKWT09.0A_13,0.152207,2018/12/8 06:23
2018/12/8 06:34 PKXR81.00_04,0.456621,2018/12/8 06:34
2018/12/8 06:35 PKXR57.00_11,0.266362,2018/12/8 06:35
2018/12/8 06:39 PKXR71.00_07__r1,0.456621,2018/12/8 06:39
2018/12/8 06:59 PKWT22.00_08,0.456621,2018/12/8 06:59
2018/12/8 07:07 PKXR71.00_06__r1,0.190259,2018/12/8 07:07
2018/12/8 07:25 PM0T61.00_02,0.114155,2018/12/8 07:25
